2024-07-17 20:46:42,187 | root | INFO | ------------------------------   entra en el estado buscar comida Punto(x=0, y=0)  10
2024-07-17 20:46:42,187 | root | INFO | ****   entra en el estado buscar comida Punto(x=0, y=0)  5
2024-07-17 20:46:42,187 | root | INFO | ------------------------------  buscando Comida llego al punto Punto(x=0, y=2)  9
2024-07-17 20:46:42,187 | root | INFO | ****  buscando Comida llego al punto Punto(x=2, y=0)  4
2024-07-17 20:46:42,188 | root | INFO | ------------------------------  buscando Comida llego al punto Punto(x=-1, y=3)  8
2024-07-17 20:46:42,188 | root | INFO | ****  buscando Comida llego al punto Punto(x=4, y=2)  3
2024-07-17 20:46:42,188 | root | INFO | ------------------------------  buscando Comida llego al punto Punto(x=0, y=4)  7
2024-07-17 20:46:42,188 | root | INFO | ****  buscando Comida llego al punto Punto(x=3, y=0)  2
2024-07-17 20:46:42,188 | root | INFO | ------------------------------  buscando Comida llego al punto Punto(x=0, y=4)  6
2024-07-17 20:46:42,188 | root | INFO | ****  buscando Comida llego al punto Punto(x=1, y=-1)  1
2024-07-17 20:46:42,188 | root | INFO | ------------------------------  buscando Comida llego al punto Punto(x=2, y=4)  5
2024-07-17 20:46:42,188 | root | INFO | ****  buscando Comida llego al punto Punto(x=3, y=1)  0
2024-07-17 20:46:42,188 | root | INFO | ------------------------------  buscando Comida llego al punto Punto(x=1, y=2)  4
2024-07-17 20:46:42,188 | root | INFO | ------------------------------  buscando Comida llego al punto Punto(x=2, y=1)  3
2024-07-17 20:46:42,188 | root | INFO | ------------------------------  buscando Comida llego al punto Punto(x=1, y=0)  2
2024-07-17 20:46:42,188 | root | INFO | ------------------------------  buscando Comida llego al punto Punto(x=3, y=-2)  1
2024-07-17 20:46:42,188 | root | INFO | ------------------------------  buscando Comida llego al punto Punto(x=1, y=-4)  0
2024-07-17 20:46:42,188 | root | INFO | ------------------------------   sale del estado buscar comida Punto(x=1, y=-4)  0
2024-07-17 20:46:42,188 | root | INFO | ------------------------------   Entra en el estado de volver a casa desde Punto(x=1, y=-4)  0
2024-07-17 20:46:42,188 | root | INFO | ------------------------------   Volviendo a casa llego al punto Punto(x=0.0, y=-3.0)  1
2024-07-17 20:46:42,188 | root | INFO | ------------------------------   Volviendo a casa llego al punto Punto(x=0.0, y=-2.0)  2
2024-07-17 20:46:42,188 | root | INFO | ------------------------------   Volviendo a casa llego al punto Punto(x=0.0, y=-1.0)  3
2024-07-17 20:46:42,188 | root | INFO | ------------------------------   Volviendo a casa llego al punto Punto(x=0.0, y=0.0)  4
2024-07-17 20:46:42,188 | root | INFO | ------------------------------   Sale del estado llegar Volviendo a casa Punto(x=0.0, y=0.0)  4
2024-07-17 20:46:42,188 | root | INFO | ------------------------------   entra en el estado buscar comida Punto(x=0.0, y=0.0)  4
2024-07-17 20:46:42,188 | root | INFO | ------------------------------  buscando Comida llego al punto Punto(x=-1.0, y=-1.0)  3
2024-07-17 20:46:42,188 | root | INFO | ------------------------------  buscando Comida llego al punto Punto(x=1.0, y=-2.0)  2
2024-07-17 20:46:42,188 | root | INFO | ------------------------------  buscando Comida llego al punto Punto(x=2.0, y=-1.0)  1
2024-07-17 20:46:42,188 | root | INFO | ------------------------------  buscando Comida llego al punto Punto(x=3.0, y=0.0)  0
